Year,Mon,Day,Hour,Discharge
1950,1,1,0,1.3487836
1950,1,1,1,4.3061513
1950,1,1,2,8.0321869
1950,1,1,3,11.6786485
1950,1,1,4,15.0299277
1950,1,1,5,18.2425708
1950,1,1,6,21.4390898
1950,1,1,7,24.5963663
1950,1,1,8,27.5598317
1950,1,1,9,30.1107424
1950,1,1,10,32.0592271
1950,1,1,11,33.3161292
1950,1,1,12,33.9098148
1950,1,1,13,33.9540779
1950,1,1,14,33.597613
1950,1,1,15,32.9821649
1950,1,1,16,32.2202743
1950,1,1,17,31.390296
1950,1,1,18,30.5412913
1950,1,1,19,29.7011815
1950,1,1,20,28.8843368
1950,1,1,21,28.0972021
1950,1,1,22,27.3419326
1950,1,1,23,26.6185267
1950,1,2,0,25.9259848
1950,1,2,1,25.2629016
1950,1,2,2,24.6277524
1950,1,2,3,24.0190221
1950,1,2,4,23.4352605
1950,1,2,5,22.8751008
1950,1,2,6,22.3372636
1950,1,2,7,21.8205546
1950,1,2,8,21.3238594
1950,1,2,9,20.8461375
1950,1,2,10,20.386417
1950,1,2,11,19.9437889
1950,1,2,12,19.5174027
1950,1,2,13,19.1064613
1950,1,2,14,18.7102171
1950,1,2,15,18.3279685
1950,1,2,16,17.9590562
1950,1,2,17,17.60286
1950,1,2,18,17.2587963
1950,1,2,19,16.9263154
1950,1,2,20,16.6048987
1950,1,2,21,16.2940572
1950,1,2,22,15.993329
1950,1,2,23,15.7022776
1950,1,3,0,15.4204902
1950,1,3,1,15.1475761
1950,1,3,2,14.8831655
1950,1,3,3,14.6269078
1950,1,3,4,14.3784706
1950,1,3,5,14.1375385
1950,1,3,6,13.9038121
1950,1,3,7,13.6770068
1950,1,3,8,13.4568524
1950,1,3,9,13.2430916
1950,1,3,10,13.0354797
1950,1,3,11,12.8337839
1950,1,3,12,12.637782
1950,1,3,13,12.4472627
1950,1,3,14,12.2620242
1950,1,3,15,12.0818739
1950,1,3,16,11.9066284
1950,1,3,17,11.7361121
1950,1,3,18,11.5701575
1950,1,3,19,11.4086044
1950,1,3,20,11.2512996
1950,1,3,21,11.0980966
1950,1,3,22,10.9488553
1950,1,3,23,10.8034413
1950,1,4,0,10.6617261
1950,1,4,1,10.5235864
1950,1,4,2,10.3889042
1950,1,4,3,10.2575662
1950,1,4,4,10.1294637
1950,1,4,5,10.0044925
1950,1,4,6,9.8825525
1950,1,4,7,9.7635476
1950,1,4,8,9.6473855
1950,1,4,9,9.5339775
1950,1,4,10,9.4232383
1950,1,4,11,9.3150858
1950,1,4,12,9.2094412
1950,1,4,13,9.1062285
1950,1,4,14,9.0053748
1950,1,4,15,8.9068098
1950,1,4,16,8.8104655
1950,1,4,17,8.7162769
1950,1,4,18,8.624181
1950,1,4,19,8.5341172
1950,1,4,20,8.4460271
1950,1,4,21,8.3598543
1950,1,4,22,8.2755445
1950,1,4,23,8.1930452
1950,1,5,0,8.1123057
1950,1,5,1,8.0332772
1950,1,5,2,7.9559125
1950,1,5,3,7.880166
1950,1,5,4,7.8059935
1950,1,5,5,7.7333526
1950,1,5,6,7.6622021
1950,1,5,7,7.5925022
1950,1,5,8,7.5242144
1950,1,5,9,7.4573015
1950,1,5,10,7.3917275
1950,1,5,11,7.3274576
1950,1,5,12,7.264458
1950,1,5,13,7.202696
1950,1,5,14,7.1421402
1950,1,5,15,7.0827597
1950,1,5,16,7.0245251
1950,1,5,17,6.9674074
1950,1,5,18,6.911379
1950,1,5,19,6.8564127
1950,1,5,20,6.8024824
1950,1,5,21,6.7495627
1950,1,5,22,6.697629
1950,1,5,23,6.6466575
1950,1,6,0,6.5966249
1950,1,6,1,6.5475087
1950,1,6,2,6.4992873
1950,1,6,3,6.4519392
1950,1,6,4,6.4054442
1950,1,6,5,6.359782
1950,1,6,6,6.3149334
1950,1,6,7,6.2708795
1950,1,6,8,6.227602
1950,1,6,9,6.1850831
1950,1,6,10,6.1433055
1950,1,6,11,6.1022525
1950,1,6,12,6.0619076
1950,1,6,13,6.0222551
1950,1,6,14,5.9832794
1950,1,6,15,5.9449655
1950,1,6,16,5.9072989
1950,1,6,17,5.8702653
1950,1,6,18,5.8338508
1950,1,6,19,5.7980421
1950,1,6,20,5.762826
1950,1,6,21,5.7281897
1950,1,6,22,5.6941208
1950,1,6,23,5.6606073
1950,1,7,0,5.6276373
1950,1,7,1,5.5951994
1950,1,7,2,5.5632824
1950,1,7,3,5.5318754
1950,1,7,4,5.5009678
1950,1,7,5,5.4705492
1950,1,7,6,5.4406097
1950,1,7,7,5.4111393
1950,1,7,8,5.3821285
1950,1,7,9,5.353568
1950,1,7,10,5.3254486
1950,1,7,11,5.2977615
1950,1,7,12,5.2704979
1950,1,7,13,5.2436496
1950,1,7,14,5.2172081
1950,1,7,15,5.1911655
1950,1,7,16,5.165514
1950,1,7,17,5.1402458
1950,1,7,18,5.1153535
1950,1,7,19,5.0908297
1950,1,7,20,5.0666675
1950,1,7,21,5.0428597
1950,1,7,22,5.0193997
1950,1,7,23,4.9962808
1950,1,8,0,4.9734964
1950,1,8,1,4.9510404
1950,1,8,2,4.9289064
1950,1,8,3,4.9070885
1950,1,8,4,4.8855807
1950,1,8,5,4.8643774
1950,1,8,6,4.8434727
1950,1,8,7,4.8228614
1950,1,8,8,4.8025378
1950,1,8,9,4.7824969
1950,1,8,10,4.7627334
1950,1,8,11,4.7432424
1950,1,8,12,4.7240188
1950,1,8,13,4.7050579
1950,1,8,14,4.686355
1950,1,8,15,4.6679054
1950,1,8,16,4.6497048
1950,1,8,17,4.6317485
1950,1,8,18,4.6140325
1950,1,8,19,4.5965524
1950,1,8,20,4.579304
1950,1,8,21,4.5622835
1950,1,8,22,4.5454867
1950,1,8,23,4.52891
1950,1,9,0,4.5125493
1950,1,9,1,4.4964011
1950,1,9,2,4.4804617
1950,1,9,3,4.4647276
1950,1,9,4,4.4491953
1950,1,9,5,4.4338613
1950,1,9,6,4.4187223
1950,1,9,7,4.4037751
1950,1,9,8,4.3890165
1950,1,9,9,4.3744433
1950,1,9,10,4.3600524
1950,1,9,11,4.3458408
1950,1,9,12,4.3318056
1950,1,9,13,4.3179439
1950,1,9,14,4.3042528
1950,1,9,15,4.2907296
1950,1,9,16,4.2773715
1950,1,9,17,4.2641759
1950,1,9,18,4.2511402
1950,1,9,19,4.2382617
1950,1,9,20,4.225538
1950,1,9,21,4.2129666
1950,1,9,22,4.2005451
1950,1,9,23,4.1882711
1950,1,10,0,4.1761423
1950,1,10,1,4.1641564
1950,1,10,2,4.1523111
1950,1,10,3,4.1406043
1950,1,10,4,4.1290338
1950,1,10,5,4.1175976
1950,1,10,6,4.1062934
1950,1,10,7,4.0951193
1950,1,10,8,4.0840734
1950,1,10,9,4.0731535
1950,1,10,10,4.0623579
1950,1,10,11,4.0516846
1950,1,10,12,4.0411318
1950,1,10,13,4.0306976
1950,1,10,14,4.0203803
1950,1,10,15,4.0101782
1950,1,10,16,4.0000894
1950,1,10,17,3.9901123
1950,1,10,18,3.9802453
1950,1,10,19,3.9704867
1950,1,10,20,3.9608349
1950,1,10,21,3.9512884
1950,1,10,22,3.9418456
1950,1,10,23,3.932505
1950,1,11,0,3.923265
1950,1,11,1,3.9141244
1950,1,11,2,3.9050815
1950,1,11,3,3.8961351
1950,1,11,4,3.8872836
1950,1,11,5,3.8785258
1950,1,11,6,3.8698603
1950,1,11,7,3.8612859
1950,1,11,8,3.8528011
1950,1,11,9,3.8444047
1950,1,11,10,3.8360956
1950,1,11,11,3.8278724
1950,1,11,12,3.819734
1950,1,11,13,3.8116791
1950,1,11,14,3.8037066
1950,1,11,15,3.7958154
1950,1,11,16,3.7880044
1950,1,11,17,3.7802723
1950,1,11,18,3.7726182
1950,1,11,19,3.765041
1950,1,11,20,3.7575396
1950,1,11,21,3.750113
1950,1,11,22,3.7427601
1950,1,11,23,3.73548
